body,title
"Фильм рассказывает о героической обороне Брестской крепости, которая приняла на себя первый удар немецко-фашистских захватчиков 22 июня 1941 года. С документальной точностью описываются события, происходившие в первые дни обороны. Фильм рассказывает о главных трёх очагах сопротивления, возглавляемых командиром полка Петром Гавриловым, комиссаром Ефимом  Фоминым и начальником 9-й погранзаставы Андреем Кижеватовым.",Брестская крепость
"Молодой финский специалист по охоте, «финик», уговаривает своего русского друга помочь ему поучаствовать в настоящей русской охоте, дабы познакомиться с нравами и привычками русских охотников.",Особенности национальной охоты
"Пока храбрый воин Добрыня Никитич собирал с тугар дань, в Киеве похитили любимую племянницу князя - Забаву Путятичну. Вопреки воле князя, Добрыня с женихом Забавы Елисеем отправляется на ее поиски. В пути их ждет много приключений...",Добрыня Никитич и Змей Горыныч
"Леша, Слава и Камиль в трудную минуту приходят на помощь своему другу Саше. Накануне Нового года он умудрился вступить в конфликт с женой сотрудника силовых структур, и теперь четверо друзей заперлись в офисе рекламного агентства, которым руководит Саша, пытаясь придумать выход из сложившейся ситуации и коротая время в мужских разговорах.",О чём ещё говорят мужчины
"Олег - талантливый врач, работает на «скорой», которая мчится от пациента к пациенту. Олег знает: его приезд может изменить всё. Каждый его успех делает мир лучше. Самое важное — там, где он пытается совершить невозможное. А остальное может подождать: семья, карьера, своя жизнь… Что с ней случилось? Пока Олег спасал других, жена отчаялась и решила подать на развод, а в больнице появился новый начальник, который печётся только о статистике и правилах. А Олег всё спешит с вызова на вызов, несётся по улице, чтобы всё изменить. И кто знает, какая задача легче: спасать других или спасти себя?",Аритмия
"Руководитель одной из самых рейтинговых радиостанций страны получает заказ от загадочного клиента. Необходимо «раскрутить» на региональных выборах своего кандидата, отобрать голоса у конкурентов и тем самым повлиять на избрание нового губернатора. За выполнение задачи государственной важности берутся лучшие умы радиостанции.",День выборов
"Демобилизованный из армии, Данила Багров вернулся в родной городок. Но скучная жизнь российской провинции не устраивала его, и он решился податься в Петербург, где, по слухам, уже несколько лет процветает его старший брат. Данила нашел брата. Но все оказалось не так просто - брат был наемным убийцей...",Брат
"1960-е, разгар холодной войны. Две супердержавы - СССР и США - бьются за первенство в космической гонке. Пока СССР впереди, на очереди — выход человека в открытый космос. За две недели до старта взрывается тестовый корабль. Времени на выявление причин нет. Опытный военный лётчик Павел Беляев и его напарник Алексей Леонов, необстрелянный и горячий, мечтающий о подвиге, — два человека, готовые шагнуть в неизвестность. Но никто не мог даже предположить всего, с чем им предстояло столкнуться в полёте. В этой миссии всё, что только могло, пошло не так.",Время первых
"27-летний Илья Горюнов семь лет отсидел в тюрьме по ложному обвинению в распространении наркотиков. Теперь он выходит на свободу движимый лишь одним желанием - отомстить тому мажору Петру, который подбросил ему наркотики и поломал жизнь. Встретившись лицом к лицу со своим обидчиком, Илья совершает импульсивный поступок и получает доступ к смартфону Петра, а с ним и к жизни молодого человека – его фотографиям и видео, перепискам с родителями и девушкой Ниной, к странным, полным недомолвок и угроз переговорам с коллегами. На время Илья становится для всех Петром – через текст на экране телефона.",Текст
"Ночью можно столкнуться с темными магами, вампирами и прочей нечистью. Но по следу «ночных охотников» идет Ночной Дозор. Его предназначение - сохранение равновесия между Добром и Злом, нарушение которого вызывает разрушения, войны, революции, вселенские катастрофы...",Ночной дозор
"История о том, как двое не самых молодых людей, Кольцов и Сумароков, волею судьбы оказались вожатыми в пионерском лагере в компании в меру энергичного руководства и не в меру энергичных детей. Все бы ничего, да только попали они туда прямо с арестантской шконки. ",Каникулы строгого режима
"Успешному сотруднику ДПС Пете Васютину уже давно пора заводить семью, а он живет с мамой, хозяйкой придорожного кафе. И невеста есть – королева бензоколонки, кассирша Оля. В тот самый день, когда Петя решает сделать Оле предложение, в его служебную машину врезается пьяная поп-звезда Алина Шёпот. Чтобы избежать наказания, Алина решает соблазнить Петю...",Самый лучший день
"История о повседневной жизни, отношениях и приключениях трех маленьких любознательных котят Коржика, Компота и Карамельки. В их большой семье жизнь никогда не стоит на месте: вместе они учатся выражать эмоции, поддерживать друг друга и находить выход из любой, даже непростой на первый взгляд ситуации, при помощи фантазии и родительского совета.",Три кота
"Футболист национальной сборной Юрий Столешников в ответственный момент не забивает пенальти. После досадной ошибки Столешников покидает сборную, завершает карьеру и становится тренером маленькой провинциальной команды. Именно с этим клубом Столешникову предстоит совершить чудо и вновь поверить в себя.",Тренер
"Тридцатилетний молодой человек Виталий, убегая от надоедливых проблем и душевного дискомфорта, бросает провинциальный городок Серпухов и переезжает в Москву, надеясь именно здесь найти гармонию с собственным «я». Но до состояния гармонии ему оказывается слишком далеко, ведь впоследствии возникает очень много вопросов, связанных с его новой соседкой Кристиной, которой также не очень везет в жизни и которая пытается «сделать» из него действительно крутого мэна, а также с начальницей, желающей затащить его в кровать. С каждым днем он все больше убеждается в неадекватности подобных людей, которые буквально сорвались с цепи. Но что, если проблема не только в них?",Неадекватные люди
"Незадолго до Нового года Боря теряет память, и единственной зацепкой, которая может помочь, является надпись «З.Г.», которую он обнаруживает на руке. В это же время капитан полиции пытается решить проблемы личного характера и разлучить родную дочь и ее молодого человека, два экстремала и их любимая бабушка из подъезда снова готовятся к членовредительским подвигам, а Вера Брежнева опять сводит с ума сильную половину человечества, а конкретно — рядового Бондарева, бывшего таксиста.",Ёлки 2
"Молодой биолог Виктор Служкин от безденежья идет работать учителем географии в обычную пермскую школу. Он борется, а потом и дружит с учениками, конфликтует с завучем, ведет десятиклассников в поход - сплавляться по реке. Еще он пьет с друзьями вино, пытается ужиться с женой и водит в детский сад маленькую дочку. Он просто живет...",Географ глобус пропил
"Приключения Лунтика, маленького пушистого существа, родившегося на Луне и свалившегося с неё на Землю.",Лунтик и его друзья
"С самого детства Надя верила в чудеса. Она представляла себе, как выходит на лёд под овации публики и танцует свой самый красивый танец. И вот, благодаря вере и упорству, Надя становится знаменитой фигуристкой. Но когда ее мечты о громких победах, красивой жизни и прекрасном принце уже, кажется, готовы исполниться, судьба преподносит ей настоящее испытание. И чтобы его пройти, нужно будет снова, как в детстве, поверить в мечту. Ведь, может быть, победа не всегда должна быть громкой, а прекрасный принц не обязательно передвигается на белом коне?..",Лёд
"Еще вчера Юрий Гордеев - амбициозный авиаконструктор и любимец женщин - был в шаге от своего триумфа. Его самолет ЮГ-1 должен был стать настоящим прорывом в отечественной авиации. Но сегодня его никто не видит и не слышит, и конкурент по бизнесу беспрепятственно закрывает его компанию. Все потому, что Юра разбился в автокатастрофе и стал призраком.",Призрак
"Любознательным Смешарикам хочется узнать новое, они стремятся исследовать все вокруг. Пин изобретает машину, на которой  вся компания совершает научную экспедицию. Эта машина способна преодолевать не только границы Страны Смешариков и других миров, но и границы времени, и даже размеров! Смешарики решают отправиться в совместное путешествие, не подозревая, что им предстоит пережить самое захватывающее приключение, которое изменит их взгляд на мир, смысл жизни и суть вещей.",Смешарики: Пин-код
"Талантливый молодой лётчик Алексей Гущин не признаёт авторитетов, предпочитая поступать в соответствии с личным кодексом чести. За невыполнение абсурдного приказа его выгоняют из военной авиации, и только чудом он получает шанс летать на гражданских самолётах. ",Экипаж
"Это история Москвы начала пятидесятых, в которой компании молодых людей приходится бороться за право быть не такими как все, слушать другую музыку, по-другому одеваться и, конечно же, любить.",Стиляги
"Пенсионер, железнодорожник в отставке, скромно живёт со своей внучкой Катей. В соседнем доме постоянно собираются трое молодых бездельников, чувствующие себя безнаказанными хозяевами жизни. Однажды они хитростью заманили Катю к себе, где изнасиловали.",Ворошиловский стрелок
"Прекрасная супружеская жизнь с очаровательной Эстель – это всё, что помнит Генри после того, как просыпается в научной лаборатории, где его приводит в чувства собственная жена. Но супругу тут же похищают, и ничего непонимающий Генри бросается преследовать монстра Акана, который украл его жену.",Хардкор
"Новогодние события происходят в 11 городах: Калининграде, Казани, Перми, Уфе, Бавлах, Екатеринбурге, Красноярске, Якутске, Новосибирске, Санкт-Петербурге и Москве. Герои фильма — таксист и поп-дива, бизнесмен и актер, сноубордист и лыжник, студент и пенсионерка, пожарный и директриса, вор и милиционер, гастарбайтер и президент России. Все они оказываются в самый канун Нового года в очень непростой ситуации, выйти из которой им поможет только чудо… или Теория шести рукопожатий, согласно которой каждый человек на земле знает другого через шесть знакомых.",Ёлки
"Придворный конь Гай Юлий Цезарь на свою беду подслушивает разговор бояр и узнает о заговоре против князя. Что же делать? Защитить-то князя некому! Богатыри далеко - ловят разбойника Потаню, Горыныч в отпуске, войско на учениях… Но если плохие парни собираются захватить мир, то кому-то же надо его спасти? Кто же он, настоящий герой, который придет на помощь? Конечно, конь Юлий! Настоящий стратег и «великий комбинатор». Он непременно всех спасет, а если не спасет, то хотя бы постарается. Главное, чтобы операция по спасению мира не обернулась полной катастрофой.",Три богатыря: Ход конем
"Легендарная Шамаханская царица, которая сводила с ума многих царей и простых смертных, положила свой глаз и на Киевского князя. Тот заболел любовью странной по ней. Но чтобы доставить в целости и сохранности эту чудо-богиню в Киев-Град, срочно из отпуска вызывают всех троих, уже знакомых нам, богатырей: Алёшу Поповича, Добрыню Никитича и Илью Муромца. Теперь троица должна решить, как быть дальше? Вроде бы и слухи о царице ходят нелестные, и князя жаль.",Три богатыря и Шамаханская царица
"По ночным улицам Москвы уходит от погони черный BMW, уходящий. Цепь роковых событий с разборками и стрельбой поставила четырех друзей вне закона. В жизни без правил им нет пути назад, а чёрный бумер - мощный и надежный - уносит их всё дальше от Москвы, в шальную и безжалостную глушь российских дорог. Никто из них не хотел убивать. Никто из них не хотел умирать. Но этот путь им придется пройти до конца. ",Бумер
